# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
проповедовать,пророчествовать	"DELIVER A SERMON"	preach(icl>talk>do,agt>person,obj>thing,rec>person)+prophesy(icl>lecture>do,equ>preach,agt>thing)
приоритет,старшинство	"STATUS ESTABLISHED IN ORDER OF IMPORTANCE OR URGENCY"	precedence(icl>high_status>thing)+priority(icl>high_status>thing,equ>precedence)
крутой,обрывистый	"CHARACTERIZED BY PRECIPICES"	precipitous(icl>adj)
точность,тщательность	"THE QUALITY OF BEING REPRODUCIBLE IN AMOUNT OR PERFORMANCE"	preciseness(icl>exactness>thing,ant>impreciseness)+precision(icl>exactness>thing,equ>preciseness,ant>imprecision)
предвещающий,предостерегающий	"WARNING OF FUTURE MISFORTUNE"	precursory(icl>adj)+premonitory(icl>adj,equ>precursory)
предсказание,прогноз	"A STATEMENT MADE ABOUT THE FUTURE"	prediction(icl>statement>thing)+prognostication(icl>statement>thing,equ>prediction)
предвещающий,предсказательный,прогностический	"OF OR RELATING TO PREDICTION"	predictive(icl>adj)+prognostic(icl>adj,equ>predictive)
доминирование,преобладание	"THE STATE OF BEING PREDOMINANT OVER OTHERS"	predominance(icl>dominance>thing)+prepotency(icl>dominance>thing,equ>predominance)
вернее,предпочтительно,скорее	"MORE READILY OR WILLINGLY"	preferably(icl>how)+rather(icl>how,equ>preferably)
добавлять приставку,предпосылать	"ATTACH A PREFIX TO"	prefix(icl>affix>do,cob>thing,agt>volitional_thing,obj>thing)
схватывающий на лету,хваткий	"HAVING A KEEN INTELLECT"	prehensile(icl>adj)
безвременно,преждевременно	"TOO SOON"	prematurely(icl>how,com>premature)+untimely(icl>how,equ>prematurely,com>untimely)
обучение,подготовка	"ACTIVITY LEADING TO SKILLED BEHAVIOR"	preparation(icl>activity>thing,equ>training)+training(icl>activity>thing)
готовить,подготавливать	""	prepare(icl>do,agt>thing,obj>thing,gol>uw)
готовить,подготавливать	""	prepare(icl>do,agt>thing,obj>thing,pur>uw)
обучаться,подготавливаться,учиться	"UNDERGO INSTRUCTION IN PREPARATION FOR A PARTICULAR ROLE, FUNCTION, OR PROFESSION","UNDERGO TRAINING OR INSTRUCTION IN PREPARATION FOR A PARTICULAR ROLE, FUNCTION, OR PROFESSION"	prepare(icl>learn>do,equ>train,agt>thing,obj>thing)+train(icl>learn>do,agt>thing,pur>thing)
готовить,подготавливать	"TO PREPARE VERBALLY, EITHER FOR WRITTEN OR SPOKEN DELIVERY"	prepare(icl>make>do,agt>thing,obj>thing)
предоплата,франкировка	"PAYMENT IN ADVANCE"	prepayment(icl>payment>thing)
предварительное условие,предпосылка	"SOMETHING THAT IS REQUIRED IN ADVANCE"	prerequisite(icl>duty>thing)+requirement(icl>duty>thing,equ>prerequisite)
пресвитерианец,пресвитерианин	"A FOLLOWER OF CALVINISM AS TAUGHT IN THE PRESBYTERIAN CHURCH"	presbyterian(icl>protestant>thing)
выдержка,присутствие духа	"DIGNIFIED MANNER OR CONDUCT"	presence(icl>manner>thing,equ>bearing)
настоящий,нынешний,текущий,теперешний	"TEMPORAL SENSE"	present(icl>adj,equ>present,ant>future)
показывать,ставить	"PERFORM (A PLAY), ESPECIALLY ON A STAGE","TO PERFORM A PLAY"	present(icl>stage>do,com>play,agt>thing,obj>thing)+represent(icl>re-create>do,equ>stage,agt>thing,obj>thing)+stage(icl>re-create>do,agt>thing,obj>thing)
президент,президент Америки,президент США	"THE PERSON WHO HOLDS THE OFFICE OF HEAD OF STATE OF THE UNITED STATES GOVERNMENT"	president(icl>head_of_state>thing,equ>president_of_the_united_states)
представители прессы,пресса	"NEWSPAPER WRITERS AND PHOTOGRAPHERS"	press(icl>estate>thing)
давление,надавливание,нажатие,нажим,прессинг	"THE ACT OF PRESSING"	press(icl>push>thing)+pressing(icl>push>thing,equ>press)+pressure(icl>push>thing,equ>press)
продираться,пропихиваться	"CONTINUE MOVING FORWARD"	press_on(icl>advance>occur,obj>thing)
настоятельный,срочный	"COMPELLING IMMEDIATE ACTION"	pressing(icl>adj)+urgent(icl>adj,equ>pressing)
печатник,типограф	"SOMEONE WHOSE OCCUPATION IS PRINTING"	pressman(icl>skilled_worker>thing,equ>printer)+printer(icl>skilled_worker>thing)
печатник,типограф	"A MAN WHOSE OCCUPATION IS PRINTING"	pressman(icl>skilled_worker>thing,equ>printer,mod>male)
прессор,сосудосуживающий	"ANY AGENT THAT CAUSES A NARROWING OF AN OPENING OF A BLOOD VESSEL: COLD OR STRESS OR NICOTINE OR EPINEPHRINE OR NOREPINEPHRINE OR ANGIOTENSIN OR VASOPRESSIN OR CERTAIN DRUGS"	pressor(icl>agent>thing,equ>vasoconstrictor)+vasoconstrictor(icl>agent>thing)
гнет,давление	"AN OPPRESSIVE CONDITION OF PHYSICAL OR MENTAL OR SOCIAL OR ECONOMIC DISTRESS"	pressure(icl>distress>thing)
позволяющий предположить,предположительный	"AFFORDING REASONABLE GROUNDS FOR BELIEF OR ACCEPTANCE"	presumptive(icl>adj)
притворяться,утверждать	"STATE INSINCERELY","TO PROFESS SOMETHING"	pretend(icl>profess>do,agt>person,obj>uw)+profess(icl>claim>do,agt>thing,obj>uw)
отговорка,предлог	"SOMETHING SERVING TO CONCEAL PLANS"	pretext(icl>pretense>thing)
превентивный,профилактический	"PREVENTING OR CONTRIBUTING TO THE PREVENTION OF DISEASE"	preventive(icl>adj)+prophylactic(icl>adj,equ>preventive)
дичь,добыча	"ANIMAL HUNTED OR CAUGHT FOR FOOD"	prey(icl>animal>thing)+quarry(icl>animal>thing,equ>prey)
колючка,усик,шип	"A SMALL SHARP-POINTED TIP RESEMBLING A SPIKE ON A STEM OR LEAF"	pricker(icl>aculeus>thing,equ>spine)+prickle(icl>aculeus>thing,equ>spine)+spine(icl>aculeus>thing)+sticker(icl>aculeus>thing,equ>spine)+thorn(icl>aculeus>thing,equ>spine)
гордыня,спесь	"UNREASONABLE AND INORDINATE SELF-ESTEEM (PERSONIFIED AS ONE OF THE DEADLY SINS)"	pride(icl>mortal_sin>thing)
гордость,удовлетворение	"SATISFACTION WITH YOUR (OR ANOTHER'S) ACHIEVEMENTS"	pride(icl>satisfaction>thing)
самоуважение,чувство собственного достоинства	"THE TRAIT OF BEING SPURRED ON BY A DISLIKE OF FALLING BELOW YOUR STANDARDS"	pride(icl>trait>thing,ant>humility)
батюшка,иерей,поп,священник	"A CLERGYMAN IN CHRISTIAN CHURCHES WHO HAS THE AUTHORITY TO PERFORM OR ADMINISTER VARIOUS RELIGIOUS RITES"	priest(icl>clergyman>thing)
жрец,священник	"A PERSON WHO PERFORMS RELIGIOUS DUTIES AND CEREMONIES IN A NON-CHRISTIAN RELIGION"	priest(icl>spiritual_leader>thing)
задавака,задавала,назойливый резонер,сноб,хлыщ	"A PERSON REGARDED AS ARROGANT AND ANNOYING"	prig(icl>unpleasant_person>thing,equ>snob)+snob(icl>unpleasant_person>thing)+snoot(icl>unpleasant_person>thing,equ>snob)+snot(icl>unpleasant_person>thing,equ>snob)
педантичный,пуританский,ханжеский	"EXAGGERATEDLY PROPER"	priggish(icl>adj)+prim(icl>adj,equ>priggish)+prudish(icl>adj,equ>priggish)+puritanical(icl>adj,equ>priggish)
первичные выборы,праймариз,предварительные выборы	"A PRELIMINARY ELECTION WHERE DELEGATES OR NOMINEES ARE CHOSEN"	primary(icl>election>thing)
исходный,первичный,первоначальный	"USED OF THE FIRST OR ORIGINATING AGENT"	prime(icl>adj,equ>prime)
жеманство,напускная скромность	"EXCESSIVE OR AFFECTED MODESTY"	primness(icl>modesty>thing)+prudery(icl>modesty>thing,equ>primness)
князь,принц	"A MALE MEMBER OF A ROYAL FAMILY OTHER THAN THE SOVEREIGN (ESPECIALLY THE SON OF A SOVEREIGN)"	prince(icl>aristocrat>thing)
княгиня,княжна,принцесса	"A FEMALE MEMBER OF A ROYAL FAMILY OTHER THAN THE QUEEN (ESPECIALLY THE DAUGHTER OF A SOVEREIGN)"	princess(icl>aristocrat>thing)
правило,принцип	"A BASIC GENERALIZATION THAT IS ACCEPTED AS TRUE AND THAT CAN BE USED AS A BASIS FOR REASONING OR CONDUCT"	principle(icl>generalization>thing)+rule(icl>generalization>thing,equ>principle)
правило,принцип	"A RULE OR LAW CONCERNING A NATURAL PHENOMENON OR THE FUNCTION OF A COMPLEX SYSTEM"	principle(icl>law>thing)+rule(icl>law>thing,equ>principle)
набивная ткань,ситец	"A FABRIC WITH A DYED PATTERN PRESSED ONTO IT (USUALLY BY ENGRAVED ROLLERS)"	print(icl>fabric>thing)
обнародовать,опубликовывать,печатать	""	print(icl>publish>do,agt>thing,obj>information)+publish(icl>put_into_print>do,agt>thing,obj>information,plc>information)
печатная машина,печатный станок	"A MACHINE THAT PRINTS"	printer(icl>machine>thing)
печатание,печать	"REPRODUCTION BY APPLYING INK TO PAPER AS FOR PUBLICATION"	printing(icl>writing>thing)
неиспорченный,нетронутый	"IMMACULATELY CLEAN AND UNUSED"	pristine(icl>adj)
уединение,уединенность	"THE QUALITY OF BEING SECLUDED FROM THE PRESENCE OR VIEW OF OTHERS"	privacy(icl>reclusiveness>thing)+seclusion(icl>reclusiveness>thing,equ>privacy)
приз,трофей	"SOMETHING GIVEN AS A TOKEN OF VICTORY"	prize(icl>award>thing,equ>trophy)+trophy(icl>award>thing)
про,профессионал	"AN ATHLETE WHO PLAYS FOR PAY"	pro(icl>athlete>thing,equ>professional,ant>amateur)+professional(icl>athlete>thing,ant>amateur)
временный,испытательный,неокончательный,предварительный	"UNDER TERMS NOT FINAL OR FULLY WORKED OUT OR AGREED UPON"	probationary(icl>adj)+provisional(icl>adj,equ>probationary)+tentative(icl>adj,equ>probationary)
процедурный,процессуальный	"OF OR RELATING TO PROCEDURE"	procedural(icl>adj,com>procedure)
процедура,процесс	"A PARTICULAR COURSE OF ACTION INTENDED TO ACHIEVE A RESULT"	procedure(icl>activity>thing)+process(icl>activity>thing,equ>procedure)
обрабатывать,подвергать воздействию	"SUBJECT TO A PROCESS OR TREATMENT, WITH THE AIM OF READYING FOR SOME PURPOSE, IMPROVING, OR REMEDYING A CONDITION","TO MAKE FOOD, MATERIALS, OR GOODS READY TO BE USED OR SOLD"	process(icl>affect>do,agt>thing,obj>thing)+treat(icl>affect>do,equ>process,agt>volitional_thing,obj>thing,ins>thing)
повестка,предписание	"A WRIT ISSUED BY AUTHORITY OF LAW"	process(icl>writ>thing,equ>summons)+summons(icl>writ>thing)
перерабатывающее предприятие,переработчик	"A BUSINESS ENGAGED IN PROCESSING AGRICULTURAL PRODUCTS AND PREPARING THEM FOR MARKET"	processor(icl>business>thing)
обнародование,провозглашение	"THE FORMAL ACT OF PROCLAIMING"	proclamation(icl>act>thing)+promulgation(icl>act>thing,equ>proclamation)
тянуть,увиливать	"POSTPONE DOING WHAT ONE SHOULD BE DOING"	procrastinate(icl>delay>do,agt>volitional_thing,obj>thing)+shillyshally(icl>delay>occur,equ>procrastinate,obj>thing)+stall(icl>delay>do,equ>procrastinate,agt>volitional_thing,obj>thing)
нерешительность,промедление	"THE ACT OF PROCRASTINATING"	procrastination(icl>delay>thing)+shillyshally(icl>delay>thing,equ>procrastination)
сводница,сутенерша	"A WOMAN WHO PROCURES CUSTOMERS FOR WHORES"	procuress(icl>pimp>thing)
произведение,результат	"A QUANTITY OBTAINED BY MULTIPLICATION"	product(icl>quantity>thing)
выработка,продукция,производство	"THE QUANTITY OF SOMETHING (AS A COMMODITY) THAT IS CREATED (USUALLY WITHIN A GIVEN PERIOD OF TIME)"	production(icl>indefinite_quantity>thing,equ>output)+yield(icl>indefinite_quantity>thing,equ>output)
препод,преподаватель,профессор	"SOMEONE WHO IS A MEMBER OF THE FACULTY AT A COLLEGE OR UNIVERSITY"	prof(icl>academician>thing,equ>professor)+professor(icl>academician>thing)
профессионал,профессиональный	"ENGAGED IN A PROFESSION OR ENGAGING IN AS A PROFESSION OR MEANS OF LIVELIHOOD"	professional(icl>adj,ant>nonprofessional)
опытность,техника	"SKILLFULNESS IN THE COMMAND OF FUNDAMENTALS DERIVING FROM PRACTICE AND FAMILIARITY"	proficiency(icl>skillfulness>thing)+technique(icl>skillfulness>thing,equ>proficiency)
разрез,сечение	"A VERTICAL SECTION OF THE EARTH'S CRUST SHOWING THE DIFFERENT HORIZONS OR LAYERS"	profile(icl>property>abstract_thing,aoj>thing)
глубокий,проникновенный,прочувствованный	"SHOWING INTELLECTUAL PENETRATION OR EMOTIONAL DEPTHS"	profound(icl>adj,ant>superficial)
беспробудный,глубокий	"(OF SLEEP) DEEP AND COMPLETE"	profound(icl>adj,equ>heavy)+sound(icl>adj,equ>heavy)+wakeless(icl>adj,equ>heavy)
глубина,глубокомыслие	"INTELLECTUAL DEPTH"	profoundness(icl>depth>thing,equ>profundity,ant>superficiality)+profundity(icl>depth>thing,ant>superficiality)
праматерь,прародительница	"AN ANCESTOR IN THE DIRECT LINE"	progenitrix(icl>progenitor>thing)
предсказание,пророчество	"KNOWLEDGE OF THE FUTURE (USUALLY SAID TO BE OBTAINED FROM A DIVINE SOURCE)"	prognostication(icl>prediction>thing,equ>prophecy)+vaticination(icl>prediction>thing,equ>prophecy)
задача,затея,начинание,предприятие,проект	"A PIECE OF WORK","ANY PIECE OF WORK THAT IS UNDERTAKEN OR ATTEMPTED"	project(icl>labour>abstract_thing,pos>thing,pur>uw)+task(icl>work>thing,equ>undertaking)+undertaking(icl>work>thing)
выдвигать,предлагать	"PRESENT FOR CONSIDERATION"	project(icl>plan>do,agt>thing,obj>thing)+propose(icl>do,equ>suggest,agt>volitional_thing,obj>uw,pur>thing,rec>thing)
ракета,реактивный снаряд	"ANY VEHICLE SELF-PROPELLED BY A ROCKET ENGINE"	projectile(icl>vehicle>thing,equ>rocket)+rocket(icl>vehicle>thing)
пролетарий,рабочий	"A MEMBER OF THE WORKING CLASS (NOT NECESSARILY EMPLOYED)"	proletarian(icl>commoner>thing)+worker(icl>commoner>thing,equ>proletarian)
выпускной,выпускной бал,выпускной вечер	"A FORMAL BALL HELD FOR A SCHOOL CLASS TOWARD THE END OF THE ACADEMIC YEAR"	prom(icl>ball>thing,equ>promenade)+promenade(icl>ball>thing)
антрепренер,импресарио	"A MALE SPONSOR WHO BOOKS AND STAGES PUBLIC ENTERTAINMENTS"	promoter(icl>booker>thing,equ>showman,mod>male)
немедленно,сразу	"AT ONCE (USUALLY MODIFIES AN UNDESIRABLE OCCURRENCE)"	promptly(icl>how)
быстро,своевременно,точно	"IN A PUNCTUAL MANNER"	promptly(icl>how,com>prompt)+pronto(icl>how,equ>promptly,com>prompt)+readily(icl>how,equ>promptly,com>prompt)
обнародование,опубликование	"THE OFFICIAL ANNOUNCEMENT OF A NEW LAW OR ORDINANCE WHEREBY THE LAW OR ORDINANCE IS PUT INTO EFFECT"	promulgation(icl>announcement>thing)
произносимый,удобопроизносимый	"CAPABLE OF BEING UTTERED OR PRONOUNCED"	pronounceable(icl>adj,ant>unpronounceable)
гранка,корректура	"(PRINTING) AN IMPRESSION MADE TO CHECK FOR ERRORS"	proof(icl>impression>thing)
поддерживать,подпирать	"SUPPORT BY PLACING AGAINST SOMETHING SOLID OR RIGID"	prop(icl>support>do,agt>thing,obj>thing,ins>thing)+prop_up(icl>support>do,agt>thing,obj>thing,ins>thing)+shore(icl>hold>do,equ>prop_up,agt>thing,obj>thing,ins>thing)+shore_up(icl>hold>do,equ>prop_up,agt>thing,obj>thing,ins>thing)
склонность,устремленность	"AN INCLINATION TO DO SOMETHING"	propensity(icl>inclination>thing,equ>leaning)+tendency(icl>inclination>thing,equ>leaning)
подходящий,правильный	"MARKED BY SUITABILITY, RIGHTNESS OR APPROPRIATENESS"	proper(icl>adj,equ>appropriate,pur>uw)
прорицать,пророчить	"PREDICT OR REVEAL THROUGH, OR AS IF THROUGH, DIVINE INSPIRATION"	prophesy(icl>predict>do,agt>volitional_thing,obj>uw,rec>volitional_thing)+vaticinate(icl>predict>do,equ>prophesy,agt>thing,obj>thing)
пропорция,соразмерность	"BALANCE AMONG THE PARTS OF SOMETHING"	proportion(icl>balance>thing,equ>symmetry,ant>disproportion)+symmetry(icl>balance>thing)
доля,пропорция	"THE QUOTIENT OBTAINED WHEN THE MAGNITUDE OF A PART IS DIVIDED BY THE MAGNITUDE OF THE WHOLE"	proportion(icl>quotient>thing)
намереваться,предполагать,собираться	"PROPOSE OR INTEND","TO FORM A PLAN OR INTENTION"	propose(icl>intend>be,obj>uw,aoj>person)+purport(icl>intend>do,equ>aim,agt>thing,obj>thing)
защищенный авторским правом,проприетарный	"PROTECTED BY TRADEMARK OR PATENT OR COPYRIGHT"	proprietary(icl>adj,ant>nonproprietary)
собственность,частный бизнес	"AN UNINCORPORATED BUSINESS OWNED BY A SINGLE PERSON WHO IS RESPONSIBLE FOR ITS LIABILITIES AND ENTITLED TO ITS PROFITS"	proprietary(icl>ownership>thing,equ>proprietorship)+proprietorship(icl>ownership>thing)
приостановка работы парламента,пророгация	"DISCONTINUING THE MEETINGS (OF A LEGISLATIVE BODY) WITHOUT DISSOLVING IT"	prorogation(icl>postponement>thing)
обвинительница,прокурорша	"A FEMALE GOVERNMENT OFFICIAL WHO CONDUCTS CRIMINAL PROSECUTIONS ON BEHALF OF THE STATE"	prosecutrix(icl>official>thing)
новообращенный,прозелит	"A NEW CONVERT"	proselyte(icl>convert>thing)
геологоразведчик,проспектор	"SOMEONE WHO EXPLORES AN AREA FOR MINERAL DEPOSITS"	prospector(icl>miner>thing)
геологоразведчик,проспектор	"A MAN WHO EXPLORES AN AREA FOR MINERAL DEPOSITS"	prospector(icl>miner>thing,mod>male)
